Warehouse Id,SKU,Title,Listing Id,FSN,Brand,Flipkart Selling Price,Live on Website,Sales 7D,Sales 14D,Sales 30D,Sales 60D,Sales 90D,B2B Scheduled,Transfers Scheduled,B2B Shipped,Transfers Shipped,B2B Receiving,Transfers Receiving,Reserved for Orders and Recalls,Reserved for Internal Processing,Returns Processing,Orders to Dispatch,Recalls to Dispatch,Damaged,QC Reject,Catalog Reject,Returns Reject,Seller Return Reject,Miscellaneous,Length (in cm),Breadth (in cm),Height (in cm),Weight (in kg),Fulfilment Type,F Assured Badge
gur_san_wh_nl_01nl,Mustard Oil 2L,JIVO Cold Pressed Pure Mustard Oil Plastic Bottle,LSTEDOGE62HWA7UFXHWRMSB6D,EDOGE62HWA7UFXHW,JIVO,472,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.554432,14.873478,8.48487,1.844,Seller,Yes
gur_san_wh_nl_01nl,sano pomace 5L,Sano POMACE Olive Oil Tin,LSTEDOGRSY3TNXGEJPJTFAJBU,EDOGRSY3TNXGEJPJ,Sano,2103,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seller,Yes
malur_bts,Extra Light 5L,JIVO Extra Light olive oil 5 ltr Olive Oil Tin,LSTEDOFZFUFCQDJHTQFJQHOGV,EDOFZFUFCQDJHTQF,JIVO,3009,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.231826,22.759416,17.069562,5.33,Seller,Yes
gur_san_wh_nl_01nl,Canola 5+1L,JIVO Cold Press Canola Oil 5 Ltr+1Ltr Canola Oil Can,LSTEDOFRWTZZUBGDJ3Q7LT7BY,EDOFRWTZZUBGDJ3Q,JIVO,1550,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.244286,29.746956,11.279886,5.789,Seller,Yes
gur_san_wh_nl_01nl,Jivo_First_Pressed_Yellow_Mustard_Oil_1L,JIVO First Pressed Yellow Mustard Oil | Pili Sarson Tel | Cholesterol & Chemical-Free Mustard Oil PET Bottle,LSTEDOHDGDYAUQSWVQVJZ2XLU,EDOHDGDYAUQSWVQV,JIVO,309,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seller,No
gur_san_wh_nl_01nl,Jivo Gold_5 Ltr,JIVO Gold Refined Blend of Rice Bran & Sunflower Blended Oil Can,LSTEDOGRF8RMWNYGJPEP5VIW5,EDOGRF8RMWNYGJPE,JIVO,1089,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9466,21.561552,12.377928,4.815,Seller,Yes
gur_san_wh_nl_01nl,Jivo Gold oil 1+1,JIVO Gold Blended Cooking Oil For Healthy Heart Blended Oil PET Bottle,LSTEDOGYJ7SYY4H2MDHN9BBQF,EDOGYJ7SYY4H2MDH,JIVO,459,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seller,Yes
ulub_bts,Sunflower Oil 5L,JIVO Cooking Sunflower Oil Can,LSTEDOGDVFWGPRVTTMS0QHHKR,EDOGDVFWGPRVTTMS,JIVO,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.846778,21.262086,12.377928,4.783,Seller,Yes
malur_bts,Sunflower Oil 5L,JIVO Cooking Sunflower Oil Can,LSTEDOGDVFWGPRVTTMS0QHHKR,EDOGDVFWGPRVTTMS,JIVO,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.846778,21.262086,12.377928,4.783,Seller,Yes
malur_bts,Sano_honey_500g,Sano Pure & Natural Honey 100% Organic,LSTHNYGQTNABYZXTF6ENTNRBK,HNYGQTNABYZXTF6E,Sano,241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.180064,8.185404,5.98932,0.512,"Smart/Flipkart, Seller",No
