Shipment number,EAN,SKU,Product,Invoice Id,Invoice amount,Quantity,Amount,Status,Reason,Payment method,Fulfiller Name
17541027779751959150J,,Jivo Olive Oil Extra Light 5 Litre,"Jivo Olive Oil Extra Light Daily Cooking 5 Litre (TIN) | Recommendable for Roasting, Frying, Baking All type of Cuisines| Low Saturated Fat, Low Saturated Fat",,0.0,1,2599.0,Cancelled by buyer,cx want to cancel the order due to delivery date and cx was not available to accept the order.,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17540631374141759722J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Better price available elsewhere,COD,RRL HR JHJ Luhari 3P RFC
17541070010571636786J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Better price available elsewhere,COD,RRL HR JHJ Luhari 3P RFC
17540605699941543730J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Excess quantity ordered,COD,RRL HR JHJ Luhari 3P RFC
17540804219191522899J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,4,3396.0,Cancelled by buyer,Better price available elsewhere,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17540774316491318428J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17541159020281099169J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Excess quantity ordered,COD,RRL HR JHJ Luhari 3P RFC
17541445390091204830J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17541477069641894532J,,Sunflower 5 ltr,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,0.0,1,1050.0,Cancelled by buyer,I need to pay through jio wallet,COD,RRL HR JHJ Luhari 3P RFC
17541340851541073659J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17541981899301586957J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,2,1698.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
