,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
9230,jivo,2025-08-04,Hyderabad,nallakunta & vidyanagar,1382255,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,282.0,1.0,282.0
9231,jivo,2025-08-04,Noida 1,sector 64,1383133,edible oils and ghee,olive oil,extra light olive oil,jivo extra light olive oil,2 L,449236,No,,,2799.0,1.0,2799.0
9232,jivo,2025-08-04,Nagpur,sadar,1392084,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9233,jivo,2025-08-04,Ahmedabad,maninagar,1402796,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,5.0,1125.0
9234,jivo,2025-08-04,Kolkata,ruby area,1403466,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,250 ml,240878,No,,,450.0,4.0,1800.0
9235,jivo,2025-08-04,Bangalore,cv raman nagar,565139,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,2.0,550.0
9236,jivo,2025-08-04,Bangalore,kudlu gate,1392660,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,4.0,900.0
9237,jivo,2025-08-04,Kolkata,lake town,1388313,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9238,jivo,2025-08-04,Ahmedabad,gandhinagar,1400956,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9239,jivo,2025-08-04,Chandigarh,south mohali,1403831,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,Yes,597652,1.0,1499.0,2.0,2998.0
9240,jivo,2025-08-04,Mysore,mysore north,1395429,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 L,401502,No,,,2800.0,1.0,2800.0
9241,jivo,2025-08-04,Kochi,kaloor,1404578,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9242,jivo,2025-08-04,Gurgaon,dlf phase 4,1239163,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9243,jivo,2025-08-04,Guwahati,ganeshguri,1402803,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9244,jivo,2025-08-04,Chandigarh,east chd,1383823,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
9245,jivo,2025-08-04,Noida,shalimar garden,1401468,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 L,685793,No,,,1350.0,1.0,1350.0
9246,jivo,2025-08-04,Indore,vijay nagar,973251,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9247,jivo,2025-08-04,Gurgaon,dlf phase 4,762551,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 L,401502,No,,,2800.0,1.0,2800.0
