Shipment Number,Fulfillment Type,Shipment Created At,Shipment Status,Fulfiller Name,Accepted At,Product Title,EAN,Sku,Qty,MRP,Promotion Amt,Shipping Charge,Item Total,Payment Method Used,Tracking Code,Shipping Agent Code,Invoice Id,Acceptance TAT Date & Time
17542969096701793283J,RFC Shipment,2025-08-04 14:11:50 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:22:16 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161573100,Delhivery,S06ENB5AKFA06746,2025-08-04 17:11:50 +0530
17542973083741956694J,RFC Shipment,2025-08-04 14:18:28 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:17:17 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,COD,115761161572805,Delhivery,S06ENB5AKFA06743,2025-08-04 17:18:28 +0530
17542974599571579660J,RFC Shipment,2025-08-04 14:21:00 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 16:07:33 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946859962JIM,Shadowfax,S06ENB5AKFA06718,2025-08-04 17:21:00 +0530
17542992595961081942J,RFC Shipment,2025-08-04 14:51:00 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 16:56:25 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,485.9,0.0,764.1,Prepaid_Payments,115761161570392,Delhivery,S06ENB5AKFA06737,2025-08-04 17:51:00 +0530
17543013080431989187J,RFC Shipment,2025-08-04 15:25:08 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:01:17 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,2,1250.0,802.0,0.0,1698.0,COD,SF1946910214JIM,Shadowfax,S06ENB5AKFA06739,2025-08-04 18:25:08 +0530
17543015185411544234J,RFC Shipment,2025-08-04 15:28:39 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 16:52:51 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161569832,Delhivery,S06ENB5AKFA06736,2025-08-04 18:28:39 +0530
17543017569801032326J,RFC Shipment,2025-08-04 15:32:38 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:15:34 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,SF1946917412JIM,Shadowfax,S06ENB5AKFA06742,2025-08-04 18:32:38 +0530
17543017569801032326J,RFC Shipment,2025-08-04 15:32:38 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 17:15:34 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1946917412JIM,Shadowfax,S06ENB5AKFA06742,2025-08-04 18:32:38 +0530
17543028114331474580J,RFC Shipment,2025-08-04 15:50:12 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 16:50:54 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,115761161569434,Delhivery,S06ENB5AKFA06735,2025-08-04 18:50:12 +0530
17543028326351488113J,RFC Shipment,2025-08-04 15:50:33 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-04 16:57:21 +0530,"Jivo Pomace Cooking Edible Olive Oil 5 Litre Tin | Recommendable for Roasting, Frying, Baking All type of Cuisines| Healthy Cooking Oil for Daily use (Pack of 1)",,Jivo Pomace Olive Oil 5 Litre Tin (Pack of 1),1,4999.0,2900.0,0.0,2099.0,COD,115761161570473,Delhivery,S06ENB5AKFA06738,2025-08-04 18:50:33 +0530
